,Unnamed: 0,CID,Activity_Outcome,Activity_Score,Ratio_Potency_(uM),MW,Polar_Area,Complexity,Heavy_Count,HBondDonor,HBondAcc,RotBonds,IsoSMILES
0,0,12850184,Inactive,0,100.0,426.34,276.0,196.0,27,8,14,8,C(C(=O)[C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O.C(C(=O)[C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O.[Ca+2]
1,1,89753,Inactive,0,100.0,527.6,283.0,165.0,27,10,14,8,C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.[Ba+2]
2,2,9403,Active,53,2.58222,396.6,46.5,597.0,29,1,3,5,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2OC(=O)CCC4CCCC4)CCC5=C3C=CC(=C5)O
3,3,13218779,Inactive,0,100.0,253.36,75.4,384.0,17,0,4,4,C[C@@]12CC[C@@H](C1(C)C)C[C@H]2OC(=O)CSC#N
4,4,142766,Inactive,0,100.0,283.28,90.6,270.0,21,3,5,1,C1=CC=C(C(=C1)C(=O)O)O.C1=CC2=C(C(=C1)O)N=CC=C2
5,5,16043,Inactive,0,100.0,166.22,40.5,148.0,12,2,2,1,CC(C)(C)C1=C(C=CC(=C1)O)O
6,6,2724372,Inactive,0,100.0,294.4,36.4,412.0,22,1,3,3,C=C[C@H]1CN2CCC1C[C@@H]2[C@H](C3=CC=NC4=CC=CC=C34)O
7,7,637566,Inactive,0,100.0,154.25,20.2,150.0,11,1,1,4,CC(=CCC/C(=C/CO)/C)C
8,8,994,Inactive,0,100.0,165.19,63.3,153.0,12,2,3,3,C1=CC=C(C=C1)CC(C(=O)O)N
9,9,4766,Inactive,0,100.0,354.4,92.2,545.0,25,2,5,2,C1=CC=C2C(=C1)C(OS2(=O)=O)(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O
10,10,79472,Inactive,0,100.0,445.3,119.0,513.0,30,6,5,2,CC1=CC(=C2C=C(C=CC2=N1)NC(=O)NC3=CC4=C(C=C(N=C4C=C3)C)N)N.Cl.Cl
11,11,197883,Inactive,0,100.0,182.2,76.6,139.0,10,4,6,3,[C@H]([C@@H](C(=O)O)S)(C(=O)O)S
12,12,51,Inactive,0,100.0,146.1,91.7,171.0,10,2,5,4,C(CC(=O)O)C(=O)C(=O)O
13,13,66064,Inactive,0,100.0,480.4,35.0,510.0,30,2,7,4,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F.Cl.Cl
14,14,8969,Inactive,0,100.0,354.4,65.6,555.0,26,2,4,2,COC(=O)[C@H]1[C@H](CC[C@@H]2[C@@H]1C[C@H]3C4=C(CCN3C2)C5=CC=CC=C5N4)O
15,15,10664,Inactive,0,100.0,241.11,79.4,143.0,14,5,4,2,CC1=NC=C(C(=C1O)CN)CO.Cl.Cl
16,16,8739,Inactive,0,100.0,201.2,106.0,284.0,13,2,5,2,C1=CC(=CC=C1C(=O)O)S(=O)(=O)N
17,17,4904,Inactive,0,100.0,295.4,23.5,294.0,22,1,2,5,C1CCN(CC1)CCC(C2=CC=CC=C2)(C3=CC=CC=C3)O
18,18,65463,Inactive,0,100.0,505.9,6.5,514.0,33,2,2,6,CC(C)(C)C1=CC=C(C=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl.Cl.Cl
19,19,439501,Active,53,0.022421,584.7,207.0,1080.0,41,8,12,4,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2C[C@H]([C@@]3([C@@H]4[C@@H](CC[C@@]3(C2)O)[C@]5(CC[C@@H]([C@]5(C[C@H]4O)C)C6=CC(=O)OC6)O)CO)O)O)O)O
20,20,65708,Inactive,0,100.0,190.2,66.0,220.0,14,2,3,3,C1=CC=C2C(=C1)NC(=N2)CCC(=O)O
21,21,60196259,Inactive,0,100.0,494.7,122.0,663.0,35,6,7,4,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C.C1CNCCN1
22,22,5338,Inactive,0,100.0,300.34,106.0,442.0,21,2,6,3,C1=CC=C2C(=C1)N=CC(=N2)NS(=O)(=O)C3=CC=C(C=C3)N
23,23,3246155,Inactive,0,100.0,403.5,75.2,433.0,28,1,5,4,CN1[C@@H]2CC[C@H]1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4.CS(=O)(=O)O
24,24,5920,Inactive,0,100.0,650.97,92.8,402.0,23,3,5,5,C1=CC(=C(C=C1OC2=C(C=C(C=C2I)C[C@@H](C(=O)O)N)I)I)O
25,25,54724367,Inactive,0,100.0,564.0,171.0,1110.0,39,7,10,4,C[C@@]1(C2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)NCN5CCCC5)N(C)C)O.Cl
26,26,667466,Inactive,0,100.0,315.9,28.5,381.0,21,0,2,3,CN(C)CC/C=C/1\\C2=CC=CC=C2SC3=C1C=C(C=C3)Cl
27,27,24403,Inactive,0,100.0,265.9,136.0,124.0,13,0,7,0,[O-]P(=O)([O-])OP(=O)([O-])[O-].[Na+].[Na+].[Na+].[Na+]
28,28,6419941,Inactive,0,100.0,356.25,49.8,340.0,21,2,4,4,CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C(C3=CC=CC=C3)O.Br
29,29,6603108,Inactive,0,100.0,384.3,62.3,418.0,23,2,5,5,CN1[C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4.Br
30,30,6419978,Inactive,0,100.0,400.3,77.1,460.0,24,2,5,5,C[N+]1([C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4)[O-].Br
31,31,5459110,Inactive,0,100.0,398.3,59.1,454.0,24,1,5,5,C[N+]1([C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4)C.[Br-]
32,32,656597,Inactive,0,100.0,384.3,46.5,387.0,23,1,4,5,C[N+]1([C@@H]2CC[C@H]1CC(C2)OC(=O)C(CO)C3=CC=CC=C3)C.[Br-]
33,33,3000668,Inactive,0,100.0,305.4,64.59899999999999,394.0,22,1,4,5,C[N+]1([C@@H]2CC[C@H]1CC(C2)OC(=O)C(CO)C3=CC=CC=C3)[O-]
34,34,22576,Inactive,0,100.0,311.8,3.2,365.0,22,1,1,3,CN(C)CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31.Cl
35,35,2333,Inactive,0,100.0,424.1,50.4,405.0,22,1,3,3,CCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)Br)O)Br
36,36,614,Inactive,0,100.0,115.13,49.3,103.0,8,2,3,1,C1CC(NC1)C(=O)O
37,37,94280,Inactive,0,100.0,294.4,6.5,337.0,22,0,2,4,CC1(C2=CC=CC=C2N(C3=CC=CC=C31)CCCN(C)C)C
38,38,23664709,Inactive,0,100.0,372.5,115.0,536.0,24,1,5,4,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)CC3=CC=CC=C3)C(=O)[O-])C.[K+]
39,39,546,Inactive,0,100.0,140.03,94.8,133.0,8,3,5,2,C(C(=O)O)P(=O)(O)O
40,40,16678045,Inactive,0,100.0,593.7,112.0,1060.0,44,2,7,3,CC1=CC(=C(N1C2=CC=CC(=C2)C(=O)O)C)C(=O)O.C1CN2CC3=CCO[C@H]4CC(=O)N5[C@H]6[C@H]4[C@H]3C[C@H]2[C@@]61C7=CC=CC=C75
41,41,14676,Inactive,0,100.0,332.9,31.8,339.0,22,1,3,2,CN1CCC(C1)CN2C3=CC=CC=C3SC4=CC=CC=C42.Cl
42,42,441358,Inactive,0,100.0,299.8,12.0,307.0,21,2,1,3,CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31.Cl
43,43,71822,Inactive,0,100.0,363.0,31.8,373.0,24,1,3,5,CCC1=CC2=C(C=C1)SC3=CC=CC=C3N2CC(C)CN(C)C.Cl
44,44,298391,Inactive,0,100.0,387.5,99.2,481.0,27,3,4,3,CC1=CC=C(C=C1)S(=O)(=O)O.C1CCC2=C(C1)C=CC=C2NC3=NCCN3
45,45,4078,Inactive,0,100.0,386.6,68.1,502.0,26,0,5,4,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)C
46,46,2348,Inactive,0,100.0,387.9,135.0,653.0,24,3,7,3,C1=CC=C(C=C1)CC2NC3=CC(=C(C=C3S(=O)(=O)N2)S(=O)(=O)N)Cl
47,47,23667629,Inactive,0,100.0,475.9,141.0,764.0,31,1,8,4,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)F)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)[O-].[Na+]
48,48,122820,Inactive,0,100.0,482.5,86.2,601.0,30,2,5,4,C1CN(CCC12NC(=O)CS2)CCCN3C4=CC=CC=C4SC5=C3C=C(C=C5)Cl.Cl
49,49,3151,Inactive,0,100.0,425.9,67.9,655.0,30,2,3,5,C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCCN4C5=CC=CC=C5NC4=O
50,50,65758,Inactive,0,100.0,257.67,51.8,273.0,18,0,4,2,C1=CC=C(C(=C1)C2=NC(=NO2)C3=CC=NC=C3)Cl
51,51,4614,Inactive,0,100.0,293.3,63.3,361.0,22,1,4,5,C1=CC=C(C=C1)C2=C(OC(=N2)CCC(=O)O)C3=CC=CC=C3
52,52,71203,Inactive,0,100.0,294.4,25.2,492.0,22,0,2,1,CC[C@@]12CCCN3[C@@H]1C4=C(CC3)C5=CC=CC=C5N4C(=O)C2
53,53,3061720,Inactive,0,100.0,276.76,85.6,230.0,18,5,5,5,CC(C)(C)NCC(C1=NC(=C(C=C1)O)CO)O.Cl
54,54,35370,Inactive,0,100.0,267.24,93.2,484.0,19,2,6,3,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)N=[N+]=[N-]
55,55,2266,Inactive,0,100.0,188.22,74.6,147.0,13,2,4,8,C(CCCC(=O)O)CCCC(=O)O
56,56,2170,Inactive,0,100.0,313.8,36.9,424.0,22,1,3,1,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl
57,57,1727,Inactive,0,100.0,94.11,38.9,48.0,7,1,2,0,C1=CN=CC=C1N
58,58,2081,Inactive,0,100.0,255.74,52.3,260.0,17,1,3,5,CC(C(=O)OC(C)(C)CC1=CC=C(C=C1)Cl)N
59,59,1989,Inactive,0,100.0,324.4,101.0,498.0,22,2,4,4,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2
60,60,2130,Inactive,0,100.0,151.25,26.0,144.0,11,1,1,0,C1C2CC3CC1CC(C2)(C3)N
61,61,169371,Inactive,0,100.0,440.4,219.0,674.0,32,6,12,9,C1=CC(=CC=C1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=NC(=N3)N)N
62,62,5283389,Inactive,0,100.0,361.5,66.4,476.0,26,2,3,16,CCCCC/C=C\\C/C=C\\C/C=C\\C/C=C\\CCCC(=O)NCC(=O)O
63,63,119,Inactive,0,100.0,103.12,63.3,62.7,7,2,3,3,C(CC(=O)O)CN
64,64,1967,Inactive,0,100.0,326.4,54.4,692.0,24,1,3,6,CC1=C(C(=O)C(=C(C1=O)C)CCCCC#CCCCC#CCO)C
65,65,1935,Inactive,0,100.0,198.26,38.9,229.0,15,1,2,0,C1CCC2=NC3=CC=CC=C3C(=C2C1)N
66,66,2265,Inactive,0,100.0,277.27,143.0,354.0,19,1,7,2,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-]
67,67,135398513,Inactive,0,100.0,225.2,115.0,308.0,16,3,5,4,C1=NC2=C(N1COCCO)N=C(NC2=O)N
68,68,2244,Inactive,0,100.0,180.16,63.6,212.0,13,1,4,3,CC(=O)OC1=CC=CC=C1C(=O)O
69,69,2141,Inactive,0,100.0,214.23,121.0,152.0,12,4,6,7,C(CN)CNCCSP(=O)(O)O
70,70,1986,Inactive,0,100.0,222.3,152.0,297.0,13,2,7,2,CC(=O)NC1=NN=C(S1)S(=O)(=O)N
71,71,2230,Inactive,0,100.0,155.19,29.5,187.0,11,0,3,2,CN1CCC=C(C1)C(=O)OC
72,72,16231,Inactive,0,100.0,229.63,159.0,279.0,15,4,5,1,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N
73,73,564,Inactive,0,100.0,131.17,63.3,83.1,9,2,3,5,C(CCC(=O)O)CCN
74,74,135401907,Inactive,0,100.0,136.11,70.1,190.0,10,2,3,0,C1=NNC2=C1C(=O)NC=N2
75,75,2157,Inactive,0,100.0,645.3,42.7,547.0,31,0,4,11,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I
76,76,2119,Inactive,0,100.0,249.35,41.5,231.0,18,2,3,8,CC(C)NCC(COC1=CC=CC=C1CC=C)O
77,77,2123,Inactive,0,100.0,210.28,48.4,148.0,15,0,6,3,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C
78,78,2196,Inactive,0,100.0,219.24,46.6,282.0,16,0,3,2,COC1=CC=C(C=C1)C(=O)N2CCCC2=O
79,79,4768,Inactive,0,100.0,303.8,12.5,262.0,21,0,2,8,CC(COC1=CC=CC=C1)N(CCCl)CC2=CC=CC=C2
80,80,2471,Inactive,0,100.0,364.4,127.0,528.0,25,3,7,8,CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2
81,81,2351,Inactive,0,100.0,366.5,15.7,382.0,27,0,3,10,CC(C)COCC(CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3
82,82,2284,Inactive,0,100.0,213.66,63.3,191.0,14,2,3,4,C1=CC(=CC=C1C(CC(=O)O)CN)Cl
83,83,2369,Inactive,0,100.0,307.4,50.7,286.0,22,2,4,11,CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O
84,84,2477,Inactive,0,100.0,385.5,69.6,529.0,28,0,6,6,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4
85,85,2717,Inactive,0,100.0,273.74,62.8,395.0,17,0,3,1,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl
86,86,1687,Inactive,0,100.0,341.9,12.5,389.0,24,0,2,4,CN1C2CCC1CC(C2)OC(C3=CC=CC=C3)C4=CC=C(C=C4)Cl
87,87,2765,Inactive,0,100.0,216.28,33.6,273.0,16,1,2,4,C1CC1C2=CC=CC=C2OCC3=NCCN3
88,88,2708,Inactive,0,100.0,304.2,40.5,250.0,19,1,3,9,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl
89,89,2578,Inactive,0,100.0,214.05,61.8,156.0,12,1,3,4,C(CCl)NC(=O)N(CCCl)N=O
90,90,2754,Inactive,0,100.0,369.5,81.9,485.0,27,1,5,7,C1CCC(CC1)N2C(=NN=N2)CCCCOC3=CC4=C(C=C3)NC(=O)CC4
91,91,6241,Inactive,0,100.0,386.31,191.0,520.0,27,4,10,5,CN1C=NC2=C1C(=O)N(C(=O)N2C)C.C(C(=O)O)C(CC(=O)O)(C(=O)O)O
92,92,22420,Inactive,0,100.0,279.1,42.6,212.0,15,2,5,5,C1CNP(=O)(OC1)N(CCCl)CCCl.O
93,93,72276,Inactive,0,100.0,290.27,110.0,364.0,21,5,6,1,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O
94,94,2727,Inactive,0,100.0,276.74,83.6,345.0,17,2,3,4,CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl
95,95,4211,Inactive,0,100.0,320.0,0.0,248.0,18,0,0,3,C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl
96,96,2554,Active,51,4.41903,236.27,46.3,326.0,18,1,1,0,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N
97,97,2733,Inactive,0,100.0,169.56,38.3,185.0,11,1,2,0,C1=CC2=C(C=C1Cl)NC(=O)O2
98,98,2756,Inactive,0,100.0,252.34,114.0,296.0,17,3,4,7,CC1=C(N=CN1)CSCCNC(=NC)NC#N
99,99,2720,Inactive,0,100.0,295.7,135.0,532.0,17,2,6,1,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2
100,100,5309446,Inactive,0,100.0,362.3,21.1,377.0,24,1,2,4,C1CCN(C1)CC2=NC3=CC=CC=C3N2CC4=CC=C(C=C4)Cl.Cl
101,101,1547484,Inactive,0,100.0,368.5,6.5,429.0,28,0,2,6,C1CN(CCN1C/C=C/C2=CC=CC=C2)C(C3=CC=CC=C3)C4=CC=CC=C4
102,102,1355,Inactive,0,100.0,196.67,15.3,157.0,13,1,2,1,C1CN(CCN1)C2=CC(=CC=C2)Cl
103,103,2812,Inactive,0,100.0,344.8,17.8,396.0,25,0,1,4,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4
104,104,2913,Inactive,0,100.0,287.4,3.2,423.0,22,0,1,0,CN1CCC(=C2C3=CC=CC=C3C=CC4=CC=CC=C42)CC1
105,105,135398737,Inactive,0,100.0,326.8,30.9,446.0,23,1,3,1,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42
106,106,4652,Inactive,0,100.0,199.63,63.3,179.0,13,2,3,3,C1=CC(=CC=C1CC(C(=O)O)N)Cl
107,107,64927,Inactive,0,100.0,515.9,184.0,359.0,32,7,11,8,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl.OP(=O)(O)O.OP(=O)(O)O
108,108,2796,Inactive,0,100.0,242.7,35.5,232.0,16,0,3,5,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl
109,109,2803,Inactive,0,100.0,230.09,36.4,222.0,14,2,1,2,C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl
110,110,2753,Inactive,0,100.0,342.4,58.6,499.0,25,1,3,6,CN(C1CCCCC1)C(=O)CCCOC2=CC3=C(C=C2)NC(=O)C=C3
111,111,2726,Inactive,0,100.0,318.9,31.8,339.0,21,0,3,4,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl
112,112,2762,Inactive,0,100.0,262.22,88.4,449.0,19,1,7,2,CCN1C2=CC3=C(C=C2C(=O)C(=N1)C(=O)O)OCO3
113,113,2576,Inactive,0,100.0,260.329,90.6,281.0,18,2,4,9,CCCC(C)(COC(=O)N)COC(=O)NC(C)C
114,114,19379,Inactive,0,100.0,294.17,38.8,228.0,18,1,4,7,CN(C)CCOC(=O)COC1=CC=C(C=C1)Cl.Cl
115,115,2910,Inactive,0,100.0,389.9,135.0,758.0,24,3,7,2,C1C2CC(C1C=C2)C3NC4=CC(=C(C=C4S(=O)(=O)N3)S(=O)(=O)N)Cl
116,116,36811,Inactive,0,100.0,301.4,72.7,305.0,22,4,4,7,CC(CCC1=CC=C(C=C1)O)NCCC2=CC(=C(C=C2)O)O
117,117,3100,Inactive,0,100.0,255.35,12.5,211.0,19,0,2,6,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2
118,118,10649,Inactive,0,100.0,527.6,59.8,532.0,36,2,4,11,CC1=[N+](C2=CC=CC=C2C(=C1)N)CCCCCCCCCC[N+]3=C(C=C(C4=CC=CC=C43)N)C.[Cl-].[Cl-]
119,119,65327,Inactive,0,100.0,302.8,15.3,267.0,21,2,2,4,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31.Cl
120,120,6419921,Inactive,0,100.0,315.8,12.5,363.0,22,1,2,3,CN(C)CC/C=C/1\\C2=CC=CC=C2COC3=CC=CC=C31.Cl
121,121,3053,Inactive,0,100.0,393.35,196.0,481.0,27,5,13,16,C(CN(CC(=O)O)CC(=O)O)N(CCN(CC(=O)O)CC(=O)O)CC(=O)O
122,122,3019,Inactive,0,100.0,230.67,66.9,360.0,14,1,3,0,CC1=NS(=O)(=O)C2=C(N1)C=CC(=C2)Cl
123,123,4943,Inactive,0,100.0,178.27,20.2,135.0,13,1,1,2,CC(C)C1=C(C(=CC=C1)C(C)C)O
124,124,9363,Inactive,0,100.0,223.27,49.8,228.0,16,1,3,4,CCN(CC)C(=O)C1=CC(=C(C=C1)O)OC
125,125,53708,Inactive,0,100.0,248.3,83.5,371.0,17,2,3,3,CC1=C(NC(=O)N1)C(=O)C2=CC=C(C=C2)SC
126,126,8307,Inactive,0,100.0,201.69,20.2,145.0,13,1,2,2,CC[N+](C)(C)C1=CC(=CC=C1)O.[Cl-]
127,127,3194,Inactive,0,100.0,274.2,20.3,275.0,16,0,1,1,C1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3[Se]2
128,128,6207,Inactive,0,100.0,380.35,174.0,397.0,26,4,12,17,C(COCCOCCN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O
129,129,3396,Inactive,0,100.0,475.6,35.6,653.0,35,1,5,7,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F
130,130,3433,Inactive,0,100.0,260.25,82.4,402.0,19,1,4,2,CC1=NC2=C(N1)C(=O)N(C(=O)N2CC3=CC=CO3)C
131,131,3386,Inactive,0,100.0,309.33,21.3,308.0,22,1,5,6,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F
132,132,3331,Inactive,0,100.0,238.24,105.0,246.0,17,2,4,7,C1=CC=C(C=C1)C(COC(=O)N)COC(=O)N
133,133,3372,Inactive,0,100.0,437.5,55.2,544.0,30,1,8,6,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO
134,134,3339,Inactive,0,100.0,360.8,52.6,458.0,25,0,4,7,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl
135,135,3373,Inactive,0,100.0,303.29,64.4,461.0,22,0,5,3,CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C
136,136,3442,Inactive,0,100.0,179.22,50.2,170.0,13,1,3,4,CCCCC1=CN=C(C=C1)C(=O)O
137,137,3385,Inactive,0,100.0,130.08,58.2,199.0,9,2,3,0,C1=C(C(=O)NC(=O)N1)F
138,138,3356,Inactive,0,100.0,414.34,59.6,500.0,28,2,10,7,C1CCNC(C1)CNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F
139,139,3341,Inactive,0,100.0,305.75,72.7,348.0,21,4,4,1,C1CNCC(C2=CC(=C(C(=C21)Cl)O)O)C3=CC=C(C=C3)O
140,140,3325,Inactive,0,100.0,337.5,238.0,469.0,20,4,8,7,C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N
141,141,3397,Inactive,0,100.0,276.21,74.9,352.0,19,1,6,2,CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F
142,142,3478,Inactive,0,100.0,445.5,139.0,697.0,31,3,6,7,CC1=CN=C(C=N1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3
143,143,3446,Inactive,0,100.0,171.24,63.3,162.0,12,2,3,3,C1CCC(CC1)(CC(=O)O)CN
144,144,3488,Inactive,0,100.0,494.0,122.0,746.0,33,3,5,8,COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3
145,145,71401,Inactive,0,100.0,282.5,81.5,256.0,16,3,1,2,C1=CC(=C(C(=C1)Cl)CC(=O)N=C(N)N)Cl.Cl
146,146,135398740,Inactive,0,100.0,255.23,135.0,346.0,18,4,6,5,C1=NC2=C(N1COC(CO)CO)N=C(NC2=O)N
147,147,5280961,Inactive,0,100.0,270.24,87.0,411.0,20,3,5,1,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O
148,148,3559,Inactive,0,100.0,375.9,40.5,451.0,26,1,4,6,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F
149,149,9351,Inactive,0,100.0,196.64,63.8,150.0,13,3,4,1,C1=CC=C2C(=C1)C=NN=C2NN.Cl
150,150,5702293,Inactive,0,100.0,330.33,134.0,377.0,24,4,7,2,C1CC(C2=C(C3=CC=CC=C3N=C2C1)N)O.C(=C\\C(=O)O)\\C(=O)O
151,151,3639,Inactive,0,100.0,297.7,135.0,494.0,17,3,7,1,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl
152,152,774,Inactive,0,100.0,111.15,54.7,64.7,8,2,2,2,C1=C(NC=N1)CCN
153,153,681,Inactive,0,100.0,153.18,66.5,119.0,11,3,3,2,C1=CC(=C(C=C1CCN)O)O
154,154,3657,Inactive,0,100.0,76.055,75.4,42.9,5,3,2,0,C(=O)(N)NO
